16:31:43.499 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:44.099 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:44.699 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:45.299 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:45.859 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:46.459 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:47.059 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:47.659 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:48.219 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:48.819 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:49.419 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:50.019 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:50.579 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:51.179 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:51.779 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:52.379 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:52.939 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:53.539 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:54.139 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:54.739 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:55.299 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:55.899 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:56.499 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:57.099 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:57.659 -> Temperature: 41.44⸮C  |  106.59⸮F
16:31:58.259 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:58.859 -> Temperature: 41.50⸮C  |  106.70⸮F
16:31:59.459 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:00.019 -> Temperature: 41.44⸮C  |  106.59⸮F
16:32:00.619 -> Temperature: 41.44⸮C  |  106.59⸮F
16:32:01.219 -> Temperature: 41.44⸮C  |  106.59⸮F
16:32:01.819 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:02.379 -> Temperature: 41.44⸮C  |  106.59⸮F
16:32:02.979 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:03.579 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:04.179 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:04.739 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:05.339 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:05.939 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:06.539 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:07.099 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:07.699 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:08.299 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:08.899 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:09.459 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:10.059 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:10.659 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:11.259 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:11.819 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:12.419 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:13.019 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:13.619 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:14.179 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:14.779 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:15.379 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:15.979 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:16.539 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:17.139 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:17.739 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:18.339 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:18.899 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:19.499 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:20.099 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:20.699 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:21.259 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:21.859 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:22.459 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:23.059 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:23.619 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:24.219 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:24.819 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:25.419 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:25.979 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:26.579 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:27.179 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:27.779 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:28.339 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:28.939 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:29.539 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:30.139 -> Temperature: 41.44⸮C  |  106.59⸮F
16:32:30.699 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:31.299 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:31.899 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:32.499 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:33.059 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:33.659 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:34.259 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:34.859 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:35.419 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:36.019 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:36.619 -> Temperature: 41.50⸮C  |  106.70⸮F
16:32:37.219 -> Temperature: 41.50⸮C  |  106.70⸮F
