14:20:09.440 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:10.000 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:11.160 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:12.360 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:13.520 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:14.680 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:15.840 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:17.040 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:18.200 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:19.380 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:20.540 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:21.700 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:22.899 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:24.069 -> Temperature: 22.06⸮C  |  71.71⸮F
14:20:25.229 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:26.389 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:27.589 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:28.739 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:29.920 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:31.082 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:32.247 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:33.443 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:34.604 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:35.775 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:36.945 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:38.113 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:39.312 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:40.452 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:41.650 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:42.821 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:43.981 -> Temperature: 22.00⸮C  |  71.60⸮F
14:20:45.142 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:46.312 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:47.483 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:48.684 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:49.841 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:51.032 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:52.194 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:53.365 -> Temperature: 21.94⸮C  |  71.49⸮F
14:20:54.526 -> Temperature: 21.94⸮C  |  71.49⸮F
